id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1618598608;DONE;25186575;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];427341729;DONE;25986607;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1953;DONE;25986607;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3582459102;DONE;19586383;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1780996314;DONE;24498415;
5;OperationLoadGraphML-barabasi_1000000_5000000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000000_5000000.graphml];2785929803471;DONE;353428975;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];5937119298;DONE;355203567;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3872145711;DONE;34395639;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];59133519;DONE;36344831;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];992837;1000;472341431;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];855872809;DONE;473541479;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];6190856958;DONE;146679151;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];53134567;DONE;148859543;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];13026758;1000;181662239;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];428846026;DONE;182062255;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5831952101;DONE;119972311;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];49015224;DONE;122130863;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];3178681;1000;451448295;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];884163542;DONE;451848311;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5884164675;DONE;138814487;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];53106671;DONE;140978719;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];19539171;1000;522051231;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];828988727;DONE;522851263;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];6177039505;DONE;138814519;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];51908385;DONE;140825263;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[449378];79936;v[530561];171458055;
