id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1396455299;DONE;12078944;
1;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[203314, 393750];339734832;0:61:60;429590991;
2;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[900496, 230303];14484;0:1:0;429590991;
3;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[145268, 99867];131419127;0:1059:1059;391343375;
4;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[372286, 312762];54116;0:1:0;391343375;
5;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[870866, 178510];49437;0:2:1;391343375;
6;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[841072, 246697];33875;0:1:0;391343375;
7;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[669900, 674261];52989;0:2:1;391343375;
8;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[452657, 153879];43757;0:1:0;391343375;
9;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[700135, 566025];30103;0:1:0;391343375;
10;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[968551, 898032];16877;0:1:0;391343375;
11;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[905641, 812832];16842;0:1:0;391343375;
12;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[17464, 994202];31319793841;0:108523:118900;347210479;
13;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[686717, 381306];54799;0:1:0;347210479;
14;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[490729, 110534];47404;0:6:5;347210479;
15;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[317277, 275344];195407;0:9:8;347210479;
16;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[816323, 3785];17514;0:1:0;347210479;
17;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[278440, 237947];240787;0:17:16;347210479;
18;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[534586, 519961];87294;0:12:11;347210479;
19;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[131153, 975830];33606718;0:1530:1531;367660567;
20;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[68519, 112728];1061212885;0:17484:17721;407960679;
21;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[286030, 469338];576061;0:73:72;407960679;
22;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[832474, 184826];16050;0:1:0;407960679;
23;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[45194, 173358];3922223802;0:39554:40847;422440567;
24;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[855288, 441459];15760;0:4:3;422440567;
25;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[588764, 689340];32855;0:5:4;422440567;
26;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[907407, 359719];6442;0:1:0;422440567;
27;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[157723, 794205];21059877;0:1362:1365;384642223;
28;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[716256, 824341];38324;0:7:6;384642223;
29;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[545259, 548812];30427;0:1:0;384642223;
30;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[230076, 957672];589033;0:100:99;384642223;
31;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[150265, 576850];4606766;0:636:635;390023535;
32;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[47710, 180505];13224156220;0:77308:82288;448992847;
33;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[269559, 504412];573341;0:93:92;448992847;
34;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[70268, 580445];5386979;0:770:769;455450495;
35;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[9453, 981180];325081399087;7:68386:158390;375142663;
36;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[150331, 735824];29373837;0:2108:2112;360621687;
37;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[182674, 666071];3032058;0:410:409;362773887;
38;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[15344, 245652];885232877184;0:356436:493819;460708311;
39;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[823236, 53336];17804;0:1:0;460708311;
40;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[24064, 349924];178145856760;0:213921:257537;388220735;
41;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[499720, 39551];218584;0:39:38;388220735;
42;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[378410, 189638];241051;0:36:35;388220735;
43;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[436502, 687577];58517;0:9:8;388220735;
44;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[257776, 452142];85985;0:9:8;388220735;
45;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[562836, 730481];48610;0:8:7;388220735;
46;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[968873, 375001];6722;0:1:0;388220735;
47;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[1309, 976598];21582740018288;6:755904:2863949;441498247;
48;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[611356, 340341];51160;0:5:4;441498247;
49;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[180007, 926295];8172052;0:859:858;451193919;
50;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[948004, 581673];8041;0:1:0;451193919;
51;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[706860, 591687];37286;0:4:3;451193919;
52;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[137917, 846487];4350862;0:514:513;455502663;
53;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[379976, 722464];121124;0:15:14;455502663;
54;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[742190, 210460];30800;0:3:2;455502663;
55;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[224375, 384135];2031999;0:248:247;457657119;
56;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[943752, 622882];15846;0:1:0;457657119;
57;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[243380, 109439];1400441;0:177:176;458734303;
58;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[236511, 177963];428833;0:60:59;458734303;
59;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[652038, 649307];23545;0:2:1;458734303;
60;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[933705, 552985];6491;0:1:0;458734303;
61;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[720281, 686697];16403;0:1:0;458734303;
62;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[721314, 531762];29608;0:3:2;458734303;
63;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[995148, 744773];16424;0:1:0;458734303;
64;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[139611, 40703];2245716;0:297:296;460889687;
65;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[594238, 920314];16569;0:1:0;460889687;
66;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[314434, 664789];56684;0:6:5;460889687;
67;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[466656, 3919];29939;0:2:1;460889687;
68;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[479454, 182064];40530;0:4:3;460889687;
69;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[3087, 10459];15907937326479;0:940943:3315344;467232367;
70;OperationGetShortestPath;com.tinkerpop.bench.operation.operations.OperationGetShortestPath;[831713, 257788];41449;0:2:1;467232367;
