id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];2818832777;DONE;15092104;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];454485339;DONE;47327959;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];15333;DONE;47327959;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3507250901;DONE;20330031;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];1725625730;DONE;25121927;
5;OperationLoadGraphML-barabasi_1000000_5000000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000000_5000000.graphml];2918854537283;DONE;391985887;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];5975611916;DONE;393745087;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3904968914;DONE;34379887;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];59617395;DONE;36265559;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];39900773;1000;452168447;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];872954535;DONE;452568463;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];7806021448;DONE;188247823;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];42408641;DONE;190408871;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];19559457;1000;227358423;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];412669986;DONE;229635103;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5916488314;DONE;119957527;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];47597581;DONE;122103599;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];3207053;1000;521614447;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];858293443;DONE;522814495;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];6073662566;DONE;138799999;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];62365750;DONE;140937279;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];24713871;1000;487210327;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];919350930;DONE;488010359;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];5891896521;DONE;138800071;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];55335294;DONE;140969855;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[790067];78752;DNE;161855407;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[537113];75857;v[876321];161855407;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[667194];32951;v[855482];161855407;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[630274];30040;v[705717];161855407;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[61435];64900;v[988112];161855407;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[14451];72481;v[795303];161855407;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[406536];34435;v[798292];161855407;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[191614];44803;v[958875];161855407;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[672010];27581;v[793646];161855407;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[836881];27006;v[956770];161855407;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[140347];52018;v[897354];161855407;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[762357];21344;DNE;161855407;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[485107];22639;DNE;161855407;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[591767];27597;v[730579];161855407;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[701751];26607;v[751455];161855407;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[319986];30889;v[971989];161855407;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[396093];21862;DNE;161855407;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[775895];21216;DNE;161855407;
