id;name;type;args;time;result;memory;
0;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];2641993;DONE;20451247;
1;OperationDeleteGraph;com.tinkerpop.bench.operation.OperationDeleteGraph;[];767616;DONE;20451247;
2;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];1039;DONE;20451247;
3;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3509264785;DONE;19256535;
4;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];2525009;DONE;20335639;
5;OperationLoadGraphML-barabasi_1000000_5000000;com.tinkerpop.bench.operation.operations.OperationLoadGraphML;[data/datasets/barabasi_1000000_5000000.graphml];3704432998546;DONE;457294879;
6;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];12391950;DONE;457294879;
7;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];3588556776;DONE;19448383;
8;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];3105366459;DONE;20523311;
9;OperationGetManyVertices;com.tinkerpop.bench.operation.operations.OperationGetManyVertices;[1000];18882049;1000;371004255;
10;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];629187;DONE;371004255;
11;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];9543555111;DONE;319783271;
12;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];6041746;DONE;320858095;
13;OperationGetManyVertexProperties;com.tinkerpop.bench.operation.operations.OperationGetManyVertexProperties;[_id, 1000];123521363;1000;369358703;
14;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];512547;DONE;369358703;
15;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];9616266662;DONE;319743447;
16;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];3238498;DONE;320818031;
17;OperationGetManyEdges;com.tinkerpop.bench.operation.operations.OperationGetManyEdges;[1000];86691074;1000;433949023;
18;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];320618;DONE;433949023;
19;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];9879699783;DONE;319771135;
20;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];3205159;DONE;320853239;
21;OperationGetManyEdgeProperties;com.tinkerpop.bench.operation.operations.OperationGetManyEdgeProperties;[_id, 1000];2307047060;1000;370209551;
22;OperationShutdownGraph;com.tinkerpop.bench.operation.OperationShutdownGraph;[];475364;DONE;370209551;
23;OperationDoGC;com.tinkerpop.bench.operation.OperationDoGC;[];9352009076;DONE;319754927;
24;OperationOpenGraph;com.tinkerpop.bench.operation.OperationOpenGraph;[];6070336;DONE;320837031;
25;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#abe6bf61-076b-4559-85ab-3385b4aba762];73670;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#7961867b-14ba-49c1-9eef-38b0639ebb65];330679815;
26;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#2b1919f6-f69b-4efd-9d58-9a9b68c64d3e];50848;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#2fd1a109-e0cb-48d4-a23d-3753b3f41b90];330679815;
27;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#dcfebd59-5dfd-4f44-be2d-b26f86b58f7e];19638;DNE;330679815;
28;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#ad9d9434-2f8d-4618-8fd0-e0d6fe544c66];49426;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#3426e900-ea92-40b6-bcbf-9882ea0f281f];330679815;
29;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#3e2082f7-0087-4550-bcfe-4a744bb42758];43519;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#68d942e8-fd87-4d77-993c-76b4367d3647];330679815;
30;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#34e36f8c-989c-4e72-9079-051d02c36738];46709;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#d8f20746-6e5f-4339-8e41-7d803baa3e35];330679815;
31;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#723e60a2-412b-443e-8e44-5004b17a2d85];46835;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#cd080018-8837-4490-8c7f-7836aab8041f];330679815;
32;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#c7868bb8-0b7f-4020-8022-4ee7a070319e];17314;DNE;330679815;
33;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#8592ab07-57e9-4cd4-9c60-a41f774324d8];45743;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#5856779d-0fae-46c6-b378-bc07286be08d];330679815;
34;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#811bcb28-d5ca-4b11-a215-7dd9fc7f2945];43069;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#3d31d01f-36ab-4cfe-b63a-b6bf3bbf3723];330679815;
35;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#a0aed323-7d2f-44fc-b392-c98e32cb980e];43534;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#3daf11e3-64c1-4edd-8f66-c16137548408];330679815;
36;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#476017a8-4e0b-4573-bf59-fb6c961d8a18];45941;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#3e8ce43d-e359-4234-961a-80067a203d85];330679815;
37;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#1405f015-9ddc-4838-bcce-e287fc5a7f64];46573;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#7f0dd59b-6d0a-4cd2-8124-fccb5cddf92e];330679815;
38;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#bd8465b1-97a6-410a-a28f-1be8371f659a];18187;DNE;330679815;
39;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#41ea989a-a992-40ec-be15-0352bd8d0797];43481;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#8fbba2c6-2f95-462b-8578-3b8d25f18daf];330679815;
40;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#48bcc8bb-188e-473b-b17c-23720f86f8e9];17923;DNE;330679815;
41;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#638ce320-e112-4781-964f-3aa94b4ea4da];41176;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#eb134d31-bf27-4a3e-8d54-34e1895fa549];330679815;
42;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#7c5a6a5e-9a84-4dde-b33e-2709e4d22db1];16814;DNE;330679815;
43;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#74c3a6ac-c83a-4234-98ff-8ee42c2bb503];16272;DNE;330679815;
44;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#45440f3d-cac9-4524-9dee-e572e866b062];46100;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#ef3f4c42-dd3d-4b33-86a4-feac4f204209];330679815;
45;OperationGetFirstNeighbor;com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor;[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#d4089f8b-5981-4872-8981-5465a90aba10];42208;v[http://www.eecs.harvard.edu/~dmargo/01/rdfgraph-ns#693d033e-af48-4ea0-8f8c-4c6018a925bd];330679815;
